Date,Action,Symbol,OptionType,Strike,Expiry,Contracts,Premium,StockPrice,Commission,PositionID,Notes
2025-09-10,Sell to Open,SOFI,Call,26.00,2025-09-12,1,48.00,25.57,0.00,P1,"First ever trade, recommendation from John"
2025-09-12,Assigned,SOFI,Call,26.00,2025-09-12,1,0.00,,0.00,P1,
2025-09-10,Sell to Open,PLTR,Call,165.00,2025-09-12,1,280.00,164.79,0.00,P2,"Was a little scared on this as it was $16,500, first large stock purchase"
2025-09-12,Assigned,PLTR,Call,165.00,2025-09-12,1,0.00,,0.00,P2,
2025-09-10,Sell to Open,F,Call,11.50,2025-09-19,1,12.00,11.34,0.00,P3,Test trade to get comfortable with things
2025-09-19,Assigned,F,Call,11.50,2025-09-19,1,0.00,,0.00,P3,
2025-09-11,Sell to Open,SOFI,Call,26.00,2025-09-12,1,44.00,25.75,0.00,P4,"Already had SOFI, but the Annualized return was insane on this"
2025-09-12,Assigned,SOFI,Call,26.00,2025-09-12,1,0.00,,0.00,P4,
2025-09-11,Sell to Open,AMD,Call,157.50,2025-09-12,1,91.00,155.71,0.00,P5,"Had trouble getting filled, did a market order and lost $29 on the price"
2025-09-12,Assigned,AMD,Call,157.50,2025-09-12,1,0.00,,0.00,P5,
2025-09-15,Sell to Open,SOFI,Call,27.50,2025-09-19,1,81.00,27.46,0.00,P6,"Doing a trade before the fed rate cut announcement to understand how the volatility works, good return overall"
2025-09-19,Assigned,SOFI,Call,27.50,2025-09-19,1,0.00,,0.00,P6,
2025-09-16,Sell to Open,AAL,Call,12.50,2025-10-10,1,55.00,12.19,0.00,P7,"Struggled to get filled, did a market order, maybe should consider real time market data. Did a longer option call just as a test "
2025-09-16,Sell to Open,OXY,Call,47.50,2025-09-19,1,63.00,47.42,0.00,P8,Wanted to test energy sector and see how it works with diversification this week
2025-09-19,Expired,OXY,Call,47.50,2025-09-19,1,0.00,,0.00,P8,
2025-09-18,Sell to Open,SOFI,Put,27.00,2025-09-19,1,23.00,27.48,0.00,P9,First ever Put!
2025-09-19,Expired,SOFI,Put,27.00,2025-09-19,1,0.00,,0.00,P9,
2025-09-18,Sell to Open,MRNA,Put,25.50,2025-09-19,1,60.00,25.66,0.00,P10,"Second Put, but not sure I would want to own MRNA in the long term, it feels like its a long term downtrending stock"
2025-09-19,Assigned,MRNA,Put,25.50,2025-09-19,1,0.00,,0.00,P10,
2025-09-18,Sell to Open,AMD,Call,157.50,2025-09-19,1,191.00,157.30,0.00,P11,Only Good call option I could find for end of this week that was not on a stock that I already own or PLTR which I felt was too volatile
2025-09-19,Expired,AMD,Call,157.50,2025-09-19,1,0.00,,0.00,P11,
2025-09-19,Sell to Open,AAL,Call,12.50,2025-09-25,4,92.00,12.42,0.00,P12,"Wanted to try out an over-the-weekend weekly, and I want to check how much this is on Monday, as I think we get good theta decay on the weekend without much price movement. And this fit nicely, almost 2% for the week."
2025-09-25,Expired,AAL,Call,12.50,2025-09-25,4,0.00,,0.00,P12,
2025-09-22,Sell to Open,AMD,Call,160.00,2025-09-26,1,360.00,160.00,0.00,P13,Nice preium collection on AMD I think it was very good for the week
2025-09-26,Expired,AMD,Call,160.00,2025-09-26,1,0.00,,0.00,P13,
2025-09-22,Sell to Open,HIMS,Put,55.00,2025-09-26,1,119.00,55.00,0.00,P14,Wanted to try HIMS put as John recommended this was considering lower strike price around 50 for 1 month with around 4% returnt
2025-09-26,Expired,HIMS,Put,55.00,2025-09-26,1,0.00,,0.00,P14,
2025-09-22,Sell to Open,MRNA,Call,25.50,2025-09-25,1,72.00,25.50,0.00,P15," I had this assigned from last week so I sold a call on it and quite happy with the return"
2025-09-25,Expired,MRNA,Call,25.50,2025-09-25,1,0.00,,0.00,P15,
2025-09-22,Sell to Open,OXY,Call,47.50,2025-11-21,1,181.00,47.50,0.00,P16,wanted to have a safe stock like OXY on the portfolio as I already had it assigned last week
2025-09-22,Sell to Open,BAC,Call,52.00,2025-09-26,1,55.00,52.04,0.00,P17,Same as OXY I was already assigned BAC so sold more calls 52
2025-09-26,Assigned,BAC,Call,52.00,2025-09-26,1,0.00,,0.00,P17,
2025-09-23,Sell to Open,SOFI,Put,29.50,2025-09-26,1,55.00,29.87,0.00,P18,SOFI had a good premium and was getting to an ATH so I sold a put to collect more premium
2025-09-26,Assigned,SOFI,Put,29.50,2025-09-26,1,0.00,,0.00,P18,
2025-09-23,Sell to Open,IBKR,Put,65.00,2025-09-26,1,75.00,66.50,0.00,P19,I liked the irony of trading IBKR put when trading on IBKR
2025-09-26,Expired,IBKR,Put,65.00,2025-09-26,1,0.00,,0.00,P19,
2025-09-24,Sell to Open,SOFI,Put,28.00,2025-09-26,2,74.00,28.44,0.00,P20,felt it was good to double down on SOFI put
2025-09-26,Assigned,SOFI,Put,28.00,2025-09-26,2,0.00,,0.00,P20,
2025-09-24,Sell to Open,UBER,Put,97.00,2025-09-26,1,109.00,97.18,0.00,P21,Wanted to try a new stock ticker to branch out a bit as I need more stocks to diversify
2025-09-26,Expired,UBER,Put,97.00,2025-09-26,1,0.00,,0.00,P21,
2025-09-25,Sell to Open,F,Put,11.50,2025-10-03,3,42.00,11.50,0.00,P22,Looking to deploy some capital on something relatively safe as positions have been moving quite a bit today and there was not much premium for 1 day expiry so went to next week to capture theta over the weekend even though annualized return was not 100%
2025-09-25,Sell to Open,HOOD,Put,122.00,2025-09-26,1,62.00,124.40,0.00,P23,Wanted to try a 0.25 delta roughly for one day so while this is quite a small return I do not expect to be assigned most of the time
2025-09-26,Assigned,HOOD,Put,122.00,2025-09-26,1,0.00,,0.00,P23,
2025-09-25,Sell to Open,RIVN,Put,15.50,2025-09-26,2,22.00,15.92,0.00,P24,Small position to test EV sector with good capital efficiency and meets annualized threshold
2025-09-26,Expired,RIVN,Put,15.50,2025-09-26,2,0.00,,0.00,P24,
2025-09-29,Sell to Open,AAL,Call,12.50,2025-10-31,4,129.00,11.26,0.00,P25,Longer dated call to capture more premium over time
2025-09-29,Sell to Open,AMD,Put,160.00,2025-10-03,1,275.00,160.00,0.00,P26,Put on AMD at the money to collect good premium
2025-09-29,Sell to Open,HIMS,Put,58.00,2025-10-03,2,385.00,58.00,0.00,P27,Double position on HIMS put for higher premium income
2025-09-29,Sell to Open,HOOD,Put,125.00,2025-10-03,1,304.00,125.00,0.00,P28,Put on HOOD to collect premium on high volatility stock
2025-09-29,Sell to Open,SOFI,Put,27.50,2025-10-03,3,201.00,27.50,0.00,P29,Triple position on SOFI put to capitalize on volatility
2025-09-29,Sell to Open,MRNA,Call,25.00,2025-10-03,1,52.00,24.58,0.00,P30,Covered call on existing MRNA position
2025-09-29,Sell to Open,UBER,Put,99.00,2025-10-03,1,145.00,99.00,0.00,P31,Cash secured put on UBER
2025-09-29,Buy to Close,HOOD,Put,125.00,2025-10-03,1,-71.00,125.00,0.00,P28,Closed early to roll to higher strike
2025-09-29,Sell to Open,HOOD,Put,132.00,2025-10-03,1,216.00,125.00,0.00,P32,Rolled from P28 to higher strike for additional premium
2025-10-01,Sell to Open,PLTR,Put,180.00,2025-10-03,1,140.00,183.44,0.00,P33,Delta ~0.26 suggests market doesn't expect PLTR below $180 by Friday
2025-10-02,Buy to Close,AMD,Put,160.00,2025-10-03,1,-31.00,168.20,0.00,P26,Most of the value was already gone; could buy another put option for 1 day expiry to make more money
2025-10-02,Sell to Open,AMD,Put,167.50,2025-10-03,1,162.00,168.20,0.00,P34,Redeployed capital after closing P26 early; 353% annualized on 1-day expiry
2025-10-02,Buy to Close,HOOD,Put,132.00,2025-10-03,1,-14.00,142.04,0.00,P32,Stock rallied to $142; closed at 94% profit to redeploy capital
2025-10-02,Sell to Open,HOOD,Put,140.00,2025-10-03,1,152.00,142.04,0.00,P35,Redeployed capital after closing P32; 397% annualized on 1-day expiry
2025-10-02,Buy to Close,HOOD,Put,140.00,2025-10-03,1,-78.00,144.35,0.00,P35,Locked in profit at $0.78
2025-10-02,Buy to Close,F,Put,11.50,2025-10-03,3,-3.00,12.18,0.00,P22,Stock rallied to $12.18; closed at 93% profit with only pennies left
2025-10-02,Buy to Close,AAL,Call,12.50,2025-10-10,1,-6.00,12.18,0.00,P7,Bought back to roll to longer dated expiration
2025-10-02,Sell to Open,AAL,Call,12.50,2025-11-07,1,35.00,12.18,0.00,P36,Rolled from P7 to capture more premium over longer duration
2025-10-03,Assigned,AMD,Put,167.50,2025-10-03,1,0.00,,0.00,P34,
2025-10-03,Assigned,HIMS,Put,58.00,2025-10-03,2,0.00,,0.00,P27,
2025-10-03,Assigned,PLTR,Put,180.00,2025-10-03,1,0.00,,0.00,P33,
2025-10-03,Assigned,SOFI,Put,27.50,2025-10-03,3,0.00,,0.00,P29,
2025-10-03,Assigned,UBER,Put,99.00,2025-10-03,1,0.00,,0.00,P31,
2025-10-03,Assigned,MRNA,Call,25.00,2025-10-03,1,0.00,,0.00,P30,
2025-10-06,Sell to Open,HIMS,Call,58.00,2025-10-10,2,190.00,53.31,0.00,P37,Covered call on HIMS position from P27 assignment
2025-10-06,Sell to Open,PLTR,Call,180.00,2025-10-10,1,464.00,179.31,0.00,P38,Covered call on PLTR position from P33 assignment
2025-10-06,Sell to Open,SOFI,Call,27.50,2025-10-10,3,57.00,25.72,0.00,P39,Covered call on SOFI position from P29 assignment
2025-10-06,Sell to Open,UBER,Call,99.00,2025-10-10,1,181.00,99.44,0.00,P40,Covered call on UBER position from P31 assignment
2025-10-06,Sell to Open,HOOD,Put,140.00,2025-10-10,1,125.00,148.87,0.00,P41,Cash secured put on HOOD with delta ~0.20
2025-10-06,Sell to Open,RIVN,Put,13.50,2025-10-10,1,29.00,13.69,0.00,P42,CSP on RIVN after deliveries announcement; 202% annualized
2025-10-07,Sell to Open,HOOD,Put,145.00,2025-10-10,1,370.00,144.10,0.00,P43,CSP on HOOD; 312.6% annualized; MISTAKE - did not check existing P41 position; now overexposed with 2 HOOD puts ($28.5k / 19% of portfolio)
2025-10-07,Sell to Open,IBKR,Put,70.00,2025-10-10,1,120.00,68.69,0.00,P44,CSP on IBKR; 175.8% annualized; 3-day hold; earnings Oct 16 after expiry
2025-10-07,Buy to Close,HOOD,Put,145.00,2025-10-10,1,-335.00,145.50,0.00,P43,Bought back at $3.35 for ~$35 profit; was mistake position (doubled up on HOOD)
2025-10-07,Sell to Open,MU,Put,177.50,2025-10-10,1,112.00,178.62,0.00,P45,CSP on MU using freed capital from P43 close
2025-10-09,Buy to Close,IBKR,Put,70.00,2025-10-10,1,-28.00,69.03,0.00,P44,Closed early at 78% profit; freed capital before expiry
2025-10-09,Buy to Close,MU,Put,177.50,2025-10-10,1,-17.00,181.10,0.00,P45,Closed early at 84% profit; freed capital before expiry
2025-10-09,Buy to Close,HOOD,Put,140.00,2025-10-10,1,-32.00,148.55,0.00,P41,Bought back to roll to higher strike
2025-10-09,Sell to Open,HOOD,Put,148.00,2025-10-17,1,459.00,148.55,0.00,P46,Rolled from P41; net credit $427 for 7 days; 156% annualized
2025-10-09,Buy to Close,UBER,Call,99.00,2025-10-10,1,-47.00,,0.00,P40,Bought back to roll to longer dated expiration
2025-10-09,Sell to Open,UBER,Call,99.00,2025-10-17,1,166.00,,0.00,P47,Rolled from P40; net credit $119 for 7 days
2025-10-10,Buy to Close,UBER,Call,99.00,2025-10-17,1,-83.00,,0.00,P47,Bought back to roll to longer dated expiration
2025-10-10,Sell to Open,UBER,Call,99.00,2025-10-31,1,230.00,,0.00,P48,Rolled from P47; net credit $147 for 21 days
2025-10-10,Buy to Close,HIMS,Call,58.00,2025-10-10,2,-24.00,,0.00,P37,Bought back to roll to next week
2025-10-10,Sell to Open,HIMS,Call,58.00,2025-10-17,2,404.00,,0.00,P50,Rolled from P37; net credit $380 for 7 days
2025-10-10,Buy to Close,PLTR,Call,180.00,2025-10-10,1,-102.00,,0.00,P38,Stock swung back in my direction; closed for $362 profit
2025-10-10,Sell to Open,TGT,Put,87.00,2025-10-17,1,142.00,87.40,0.00,P49,Diversification into consumer retail; 105% annualized; uncorrelated from heavy fintech/tech exposure
2025-10-10,Sell to Open,BAC,Put,49.00,2025-10-17,1,113.00,49.00,0.00,P51,Banking sector diversification; 169% annualized; Tier 3 anchor to reduce fintech concentration
2025-10-10,Sell to Open,HIMS,Put,49.00,2025-10-31,1,264.00,54.49,0.00,P52,21-day put; 93.6% annualized; VIOLATES >100% threshold
2025-10-10,Buy to Close,HIMS,Put,49.00,2025-10-31,1,-310.00,53.05,0.00,P52,Closed due to stock crash and analyst downgrade; fundamental deterioration
2025-10-10,Buy to Close,HIMS,Call,58.00,2025-10-17,2,-294.00,53.05,0.00,P50,Closed to roll to longer dated higher strike; captured 73% of premium
2025-10-10,Sell to Open,HIMS,Call,60.00,2025-11-21,2,1142.00,53.05,0.00,P53,Rolled from P50; net credit $848; 79.6% annualized on underwater position; elevated IV from crash
2025-10-10,Buy to Close,SOFI,Call,27.50,2025-10-10,3,-27.00,,0.00,P39,Closed to roll to next week
2025-10-10,Sell to Open,SOFI,Call,27.50,2025-10-17,3,282.00,,0.00,P54,Rolled from P39; net credit $255 for 7 days; stock weak but collecting premium
2025-10-13,Sell to Open,PLTR,Put,175.00,2025-10-17,1,475.00,176.00,0.00,P55,CSP on PLTR; 234.7% annualized; 4-day expiry; slightly over 10% position size but high return
2025-10-13,Buy to Close,PLTR,Put,175.00,2025-10-17,1,-370.00,176.00,0.00,P55,Closed within minutes at 22% profit; $105 profit captured quickly
2025-10-13,Sell to Open,SHOP,Put,150.00,2025-10-17,1,282.00,153.00,0.00,P56,CSP on SHOP; 172.2% annualized; 4-day expiry; Oct 30 earnings after expiry; chose $150 over $152.50 for better safety cushion
2025-10-10,Assigned,RIVN,Put,13.50,2025-10-10,1,0.00,,0.00,P42,
2025-10-13,Sell to Open,CVS,Put,79.00,2025-10-17,1,100.00,79.13,0.00,P57,CSP on CVS; 109.5% annualized; 4-day expiry; healthcare diversification; earnings Oct 29 after expiry