Symbol,Shares,AvgCost,Capital,ProfitLoss,ReturnPerc,EntryDate,ExitDate,Stocks ID
VOO,10,$590.46,$5904.60,$0,0.00%,August 26 2025,,1
VOO,4,$593.12,$2372.48,$0,0.00%,August 27 2025,,2
VOO,16,$595.60,$9529.58,$0,0.00%,August 28 2025,,3
VOO,10,$607.21,$6072.10,$0,0.00%,September 15 2025,,4
VOO,11,$612.00,$6732.00,$0,0.00%,September 20 2025,,5
AAL,100,$12.41,$1240.50,$0,0.00%,September 16 2025,,6
AAL,400,$12.46,$4982.00,$0,0.00%,September 19 2025,,7
OXY,100,$47.41,$4741.00,$0,0.00%,September 16 2025,,8
AMD,100,$157.23,$15723.00,$0,0.00%,September 18 2025,,9
MRNA,100,$25.50,$2550.00,$0,0.00%,September 19 2025,,10
VEA,40,$58.71,$2348.20,$532.80,22.68%,August 26 2025,September 11 2025,11
VEA,70,$59.83,$4187.10,$1352.50,32.31%,August 26 2025,September 11 2025,12
VWO,30,$51.89,$1556.68,$446.22,28.67%,August 26 2025,September 11 2025,13
VWO,50,$51.25,$2562.50,$734.50,28.66%,August 27 2025,September 11 2025,14
VWO,8,$51.25,$409.96,$117.52,28.67%,August 27 2025,September 11 2025,15
VWO,9,$51.42,$462.78,$132.60,28.66%,August 28 2025,September 11 2025,16
VWO,123,$53.35,$6561.05,$771.22,11.75%,Multiple,September 11 2025,17
VNQ,25,$91.65,$2291.25,$12.77,0.56%,August 27 2025,September 11 2025,18
VB,10,$251.08,$2510.80,$460.92,18.36%,August 27 2025,September 11 2025,19
VB,2,$251.08,$502.16,$92.00,18.32%,September 11 2025,September 11 2025,20
SOFI,100,$25.57,$2556.93,$43.07,1.68%,September 8 2025,September 12 2025,21
SOFI,100,$25.97,$2597.00,$43.00,1.66%,September 11 2025,September 12 2025,22
PLTR,100,$164.79,$16479.00,$21.00,0.13%,September 10 2025,September 12 2025,23
AMD,100,$155.71,$15570.88,$179.12,1.15%,September 11 2025,September 12 2025,24
F,100,$11.34,$1133.50,$16.50,1.46%,September 10 2025,September 19 2025,25
SOFI,100,$27.45,$2744.50,$5.50,0.20%,September 15 2025,September 19 2025,26
ROLR,31,$2.75,$85.25,$0,0.00%,September 10 2025,September 10 2025,27
ASEA,150,$17.46,$2616.42,$0,0.00%,Multiple,September 11 2025,28